Postcode,Rental_offers,Basic_rent
10585,220,13.11
10587,173,11.74
10589,200,11.61
10623,82,12.74
10625,149,12.24
10627,234,12.58
10629,165,13.77
10707,165,12.42
10709,127,11.51
10711,202,12.89
10713,129,10.71
10715,205,11.50
10717,243,12.36
10719,142,14.00
10789,42,12.54
13627,131,8.40
14050,130,10.50
14052,165,12.18
14055,96,11.78
14057,206,12.99
14059,240,11.08
14193,247,13.00
14197,155,11.04
14199,135,11.39
10243,472,13.41
10245,656,13.50
10247,689,12.51
10249,473,11.51
10961,211,12.86
10963,208,15.26
10965,158,12.79
10967,167,12.63
10969,198,12.68
10997,169,12.22
10999,192,13.00
10315,406,9.87
10317,360,11.01
10318,263,9.80
10319,121,8.49
10365,201,9.71
10367,152,10.00
10369,93,9.51
13051,73,8.83
13053,78,8.84
13055,283,9.86
13057,113,7.80
13059,93,6.61
12619,187,6.32
12621,85,9.93
12623,155,9.03
12627,488,7.79
12629,156,7.48
12679,263,7.24
12681,160,7.75
12683,252,9.90
12685,155,7.57
12687,131,7.30
12689,193,6.87
10115,561,14.75
10117,505,15.93
10119,278,14.49
10178,228,15.00
10179,273,15.48
10551,228,11.10
10553,208,11.52
10555,220,12.07
10557,358,15.00
10559,234,11.01
10785,269,15.73
10787,88,11.57
13347,330,11.00
13349,138,10.18
13351,185,10.82
13353,397,10.82
13355,157,11.75
13357,328,10.68
13359,350,10.41
12043,140,12.51
12045,139,12.48
12047,128,13.07
12049,274,12.12
12051,300,11.62
12053,122,12.53
12055,148,12.01
12057,121,9.15
12059,193,11.31
12347,288,10.34
12349,160,9.00
12351,109,8.02
12353,251,8.00
12355,154,8.17
12357,58,9.65
12359,206,8.70
10405,466,13.12
10407,308,11.72
10409,244,11.03
10435,252,14.28
10437,493,13.00
10439,495,12.44
13086,448,10.48
13088,307,9.78
13089,56,8.97
13125,345,8.41
13127,220,9.59
13156,408,10.15
13158,209,10.12
13187,411,10.90
13189,309,10.30
13403,304,9.24
13405,65,9.00
13407,395,9.19
13409,495,9.36
13435,92,6.89
13437,125,9.50
13439,92,6.50
13465,118,10.00
13467,109,10.00
13469,168,8.27
13503,43,9.87
13507,272,9.48
13509,185,8.75
13581,204,9.00
13583,338,8.15
13585,370,8.55
13587,331,9.00
13589,286,8.01
13591,205,8.50
13593,206,6.38
13595,334,9.00
13597,156,9.00
13599,145,7.84
13629,145,9.44
14089,103,9.70
12163,222,11.04
12165,35,11.16
12167,274,10.32
12169,167,10.00
12203,231,10.16
12205,165,10.54
12207,183,9.42
12209,167,9.62
12247,185,9.63
12249,178,9.19
14109,76,10.52
14129,100,11.00
14163,123,10.81
14165,159,10.20
14167,185,11.25
14169,201,10.54
14195,156,12.20
10777,186,12.82
10779,89,12.00
10781,119,11.63
10783,141,11.91
10823,68,11.98
10825,88,11.66
10827,142,11.22
10829,170,12.60
12099,178,9.64
12101,86,11.00
12103,207,10.91
12105,182,9.76
12107,170,9.55
12109,160,9.69
12157,150,10.67
12159,121,11.25
12161,183,11.78
12277,105,8.67
12279,153,7.71
12305,149,9.01
12307,78,9.78
12309,165,8.46
12435,148,12.08
12437,327,9.90
12439,220,10.32
12459,604,8.89
12487,220,9.85
12489,363,9.84
12524,198,8.69
12526,44,9.72
12527,193,11.06
12555,643,10.00
12557,407,9.02
12559,173,8.69
12587,190,9.38
12589,65,10.16
